animal_id,rat_type,timepoint,insulin_au,c_peptide_au,glucagon_au,glucose_start_mM,glucose_end_mM,insulin_start_ELISA_pM,insulin_end_ELISA_pM,c_peptide_start_ELISA_pM,c_peptide_end_ELISA_pM,glucagon_start_ELISA_pM,glucagon_end_ELISA_pM,,,
Rat6,Pre-diabetic,15,1.60883627,0.9560571,0.64758952,12.5,10.9,17290.3716,11817.65125,9309.808,8202.447,103.0067328,41.93077867,,,
Rat7,Diabetic,0,0.94966859,1.031649536,0.96794266,33,34,385.153243,351.3777164,343.04,250.25,6.19,4.51,,,
Rat7,Diabetic,2.5,0.81264302,1.123783057,0.67977915,33,34,385.153243,351.3777164,343.04,250.25,6.19,4.51,,,
Rat7,Diabetic,5,0.62897846,0.775159594,1.3302709,33,34,385.153243,351.3777164,343.04,250.25,6.19,4.51,,,
Rat7,Diabetic,7.5,1.52348413,1.795124666,1.36214103,33,34,385.153243,351.3777164,343.04,250.25,6.19,4.51,,,
Rat7,Diabetic,10,1.0812042,0.750993435,1.06139379,33,34,385.153243,351.3777164,343.04,250.25,6.19,4.51,,,
Rat7,Diabetic,12.5,0.76766603,1.12879548,0.89437381,33,34,385.153243,351.3777164,343.04,250.25,6.19,4.51,,,
Rat7,Diabetic,15,0.79619046,0.947032793,0.70409866,33,34,385.153243,351.3777164,343.04,250.25,6.19,4.51,,,
Rat8,Diabetic,0,1.11948483,1.511032,1.64858459,10.7,9,2398.143466,2493.575806,4428.371027,3233.940117,28.76026231,11.133,,,
Rat8,Diabetic,2.5,1.11189989,1.320873,1.31412656,10.7,9,2398.143466,2493.575806,4428.371027,3233.940117,28.76026231,11.133,,,
Rat8,Diabetic,5,0.90315289,1.206888,1.64072825,10.7,9,2398.143466,2493.575806,4428.371027,3233.940117,28.76026231,11.133,,,
Rat8,Diabetic,7.5,1.02411636,1.124064,0.6537916,10.7,9,2398.143466,2493.575806,4428.371027,3233.940117,28.76026231,11.133,,,
Rat8,Diabetic,10,0.90330455,0.738925,0.69118694,10.7,9,2398.143466,2493.575806,4428.371027,3233.940117,28.76026231,11.133,,,
Rat8,Diabetic,12.5,0.87516326,0.676902,0.65202723,10.7,9,2398.143466,2493.575806,4428.371027,3233.940117,28.76026231,11.133,,,
Rat8,Diabetic,15,1.06964979,0.421315,0.60816411,10.7,9,2398.143466,2493.575806,4428.371027,3233.940117,28.76026231,11.133,,,
Rat9,Diabetic,0,0.8735363,0.77725352,1.01290519,6.8,7.5,2465.196537,2270.365519,2377.178,2048.622,24.295,19.829,,,
Rat9,Diabetic,2.5,1.58298846,1.03370318,0.77443589,6.8,7.5,2465.196537,2270.365519,2377.178,2048.622,24.295,19.829,,,
Rat9,Diabetic,5,0.94477469,1.26646901,1.11933229,6.8,7.5,2465.196537,2270.365519,2377.178,2048.622,24.295,19.829,,,
Rat9,Diabetic,7.5,0.96593277,0.97096669,0.64186064,6.8,7.5,2465.196537,2270.365519,2377.178,2048.622,24.295,19.829,,,
Rat9,Diabetic,10,0.9924252,1.14400873,0.65209518,6.8,7.5,2465.196537,2270.365519,2377.178,2048.622,24.295,19.829,,,
Rat9,Diabetic,12.5,0.7478872,0.63524143,1.26376793,6.8,7.5,2465.196537,2270.365519,2377.178,2048.622,24.295,19.829,,,
Rat9,Diabetic,15,0.81888857,1.06593848,1.33345032,6.8,7.5,2465.196537,2270.365519,2377.178,2048.622,24.295,19.829,,,
